right x, right y, right size, left x, left y, left size
4.382812,7.807129,28.937500,4.236328,8.297119,28.914062
4.385986,7.804443,28.921875,4.242188,8.294922,28.894531
4.393555,7.825684,28.898438,4.233643,8.283447,28.925781
4.386719,7.822510,28.925781,4.247314,8.290039,28.917969
4.395752,7.817383,28.914062,4.246826,8.306152,28.925781
4.397705,7.827637,28.910156,4.259277,8.304688,28.890625
4.377686,7.830322,28.882812,4.262939,8.324951,28.882812
4.371826,7.831543,28.882812,4.255127,8.319092,28.894531
4.362793,7.834229,28.894531,4.248535,8.314941,28.914062
4.363281,7.837891,28.875000,4.258545,8.306396,28.906250
4.354736,7.834473,28.910156,4.271729,8.318848,28.882812
4.354492,7.826172,28.929688,4.249268,8.312012,28.914062
4.346436,7.817383,28.929688,4.228271,8.302979,28.984375
4.356689,7.806396,28.941406,4.228271,8.308350,29.003906
4.361816,7.810547,28.914062,4.241211,8.311523,28.972656
4.361328,7.817383,28.910156,4.248779,8.307373,28.953125
4.366699,7.817383,28.867188,4.230469,8.301514,29.003906
4.364014,7.813721,28.882812,4.233154,8.298828,29.019531
4.365234,7.817871,28.894531,4.230713,8.292725,29.011719
4.361084,7.808594,28.898438,4.241211,8.295410,28.988281
4.356934,7.814209,28.886719,4.235352,8.288086,28.992188
4.343018,7.818115,28.910156,4.230713,8.299561,29.000000
4.341797,7.813721,28.917969,4.226074,8.296875,29.011719
4.354004,7.817627,28.914062,4.223633,8.290039,29.007812
4.351318,7.816650,28.933594,4.224609,8.290283,28.968750
4.354248,7.822266,28.945312,4.236572,8.305176,28.929688
4.363525,7.824463,28.933594,4.239014,8.303955,28.929688
4.351318,7.824707,28.925781,4.246826,8.322510,28.914062
4.340332,7.820068,28.964844,4.244629,8.317139,28.917969
4.349365,7.824463,28.960938,4.242432,8.312012,28.945312
4.344971,7.830322,28.980469,4.241699,8.314697,28.925781
4.349121,7.834229,28.976562,4.239258,8.312744,28.929688
4.351318,7.837891,28.976562,4.222656,8.306885,28.925781
4.341064,7.833252,28.968750,4.220703,8.321777,28.925781
4.347656,7.826416,28.984375,4.214844,8.308838,29.007812
4.339844,7.826172,28.972656,4.218262,8.300049,29.007812
4.345215,7.839355,28.941406,4.213867,8.292969,29.015625
4.335205,7.843018,28.953125,4.212891,8.290039,29.035156
4.334717,7.844727,28.964844,4.202148,8.284668,29.066406
4.339600,7.843750,28.984375,4.208496,8.293213,29.070312
4.345215,7.840820,28.976562,4.213867,8.294189,29.042969
4.340088,7.850830,28.972656,4.212646,8.276611,29.082031
4.337402,7.846191,28.984375,4.223633,8.278564,29.062500
4.333984,7.854004,28.976562,4.230713,8.299805,29.039062
4.335449,7.861816,28.988281,4.233643,8.307861,29.042969
4.334961,7.862305,28.984375,4.240967,8.312988,29.031250
4.325439,7.855225,28.972656,4.249512,8.314209,29.019531
4.327881,7.858887,28.988281,4.240723,8.313232,29.011719
4.339844,7.872314,28.957031,4.246826,8.323486,28.972656
4.336914,7.864990,28.984375,4.254395,8.328125,28.945312
4.333740,7.867676,28.996094,4.250732,8.326660,28.964844
4.325684,7.858643,28.976562,4.244629,8.312744,28.964844
4.328857,7.866699,28.968750,4.240967,8.317871,28.988281
4.318359,7.875244,28.964844,4.222168,8.296875,29.027344
4.309570,7.863525,28.976562,4.213135,8.297852,29.058594
4.319580,7.874023,28.968750,4.212646,8.294189,29.066406
4.312256,7.872803,28.964844,4.208252,8.296387,29.066406
4.316895,7.862549,28.964844,4.217773,8.296387,29.031250
4.325195,7.869385,28.960938,4.217529,8.305908,29.031250
4.323242,7.875000,28.972656,4.219482,8.308350,29.003906
4.331787,7.881592,28.972656,4.225830,8.308105,28.988281
4.325195,7.875977,28.976562,4.232910,8.315918,28.953125
4.325439,7.879883,28.964844,4.236328,8.317383,28.941406
4.332275,7.894287,28.957031,4.243164,8.317871,28.929688
4.336426,7.885498,28.953125,4.233887,8.318115,28.937500
4.334229,7.890869,28.968750,4.240723,8.331787,28.910156
